epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,3506.69,1.59477,2.07825,1.37111,0.00383,0.57308,0.51384,0.42818,0.45364,0.21469,0.4732,0.39161,0.39776,0.1454,1.74893,2.46873,1.66104,0.01543,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3657.65,1.57956,2.04999,1.37458,0.0039,0.56072,0.58884,0.44102,0.48359,0.24754,0.47479,0.46034,0.43911,0.17627,1.69689,2.32799,1.58701,0.01456,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3808.48,1.59253,2.05974,1.35193,0.0038,0.57376,0.61304,0.5029,0.54169,0.27955,0.56775,0.49421,0.51384,0.20311,1.67345,2.33198,1.52082,0.01566,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3959.96,1.5702,2.0402,1.34957,0.00373,0.54431,0.55518,0.49148,0.50921,0.24165,0.49148,0.44541,0.41855,0.16432,1.66335,2.29329,1.61865,0.01494,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4110.71,1.54911,2.02889,1.32693,0.00373,0.53679,0.55652,0.47195,0.51646,0.26158,0.54765,0.42592,0.45309,0.1715,1.69634,2.47275,1.63956,0.01467,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4261.49,1.55443,2.03365,1.33289,0.00375,0.55076,0.62807,0.40186,0.47178,0.23299,0.55627,0.36996,0.41431,0.15426,1.72571,2.45733,1.72279,0.01466,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4412.12,1.5604,2.01189,1.30101,0.0037,0.52802,0.56166,0.4373,0.47377,0.22405,0.46386,0.4203,0.41629,0.16381,1.67902,2.36869,1.67112,0.01495,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4562.75,1.56005,2.03744,1.29555,0.00367,0.52934,0.62842,0.48982,0.55829,0.27398,0.55924,0.49243,0.51094,0.1958,1.67717,2.30038,1.47557,0.01534,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4713.28,1.53846,1.99576,1.27293,0.00371,0.50578,0.60578,0.44666,0.48904,0.23669,0.55944,0.40563,0.43694,0.17006,1.69922,2.4026,1.67098,0.01441,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4864.23,1.53873,1.9772,1.26963,0.00367,0.52874,0.56903,0.52288,0.53306,0.26329,0.50747,0.4626,0.45482,0.17496,1.64898,2.31368,1.51386,0.01383,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5014.92,1.54123,1.9976,1.26713,0.00362,0.50782,0.54918,0.55178,0.54602,0.26607,0.50483,0.52243,0.48607,0.18841,1.66644,2.37768,1.53513,0.01386,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5166.09,1.53175,1.97552,1.26198,0.00354,0.5209,0.61279,0.50032,0.53938,0.26887,0.52033,0.49609,0.47684,0.18061,1.65774,2.33469,1.50714,0.01365,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5316.84,1.5318,1.9677,1.25359,0.00363,0.50306,0.63171,0.4939,0.54976,0.26019,0.59587,0.4456,0.47944,0.17704,1.66477,2.34337,1.47578,0.01406,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5467.52,1.53629,1.95522,1.21604,0.00359,0.49095,0.60024,0.59743,0.57741,0.29128,0.54633,0.55125,0.51531,0.21257,1.65847,2.31521,1.40503,0.01391,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5618.58,1.51368,1.93924,1.2172,0.00353,0.48121,0.60159,0.56495,0.57166,0.291,0.57891,0.51178,0.51595,0.19423,1.66531,2.31871,1.48772,0.01456,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5769.79,1.51092,1.93758,1.21809,0.00351,0.48428,0.63421,0.39559,0.47276,0.23886,0.50266,0.42469,0.41152,0.16389,1.68376,2.45338,1.75795,0.01426,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5920.58,1.50239,1.93364,1.19979,0.00354,0.47423,0.55411,0.49039,0.50514,0.24248,0.54898,0.42234,0.44538,0.17383,1.68614,2.33236,1.60784,0.01421,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6072.11,1.497,1.92257,1.19356,0.00348,0.4699,0.63277,0.50464,0.5637,0.27722,0.59031,0.4733,0.50269,0.19553,1.63593,2.31435,1.43521,0.01358,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6223.08,1.50596,1.92549,1.18405,0.00347,0.477,0.58946,0.56212,0.59295,0.29538,0.53679,0.55082,0.53847,0.21683,1.6587,2.27654,1.37863,0.01333,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6374.27,1.50679,1.93837,1.17946,0.00353,0.46682,0.66506,0.52099,0.60717,0.30813,0.61287,0.49529,0.53581,0.21172,1.62487,2.24372,1.39533,0.01366,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6525.35,1.49649,1.89883,1.17072,0.00345,0.45877,0.64695,0.49301,0.57687,0.28692,0.55484,0.47819,0.50931,0.19246,1.64765,2.32793,1.44452,0.01335,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
